PUT /webservice/integration/acessoTotal | tags: Acesso | operationId: acessoTotal
GET /webservice/integration/getProximoSkuId | tags: Produto | operationId: getProximoSkuId
GET /webservice/integration/getProximoSkuIdOnfood | tags: Produto | operationId: getProximoSkuIdOnfood
GET /webservice/integration/getProximoSkuIdPresta | tags: Produto | operationId: getProximoSkuIdPresta
GET /webservice/integration/getQuantidadeCustomerIntegrado | tags: Customer | operationId: getQuantidadeCustomerIntegrado
GET /webservice/integration/getQuantidadeCustomerIntegradoOnfood | tags: Customer | operationId: getQuantidadeCustomerIntegradoOnfood
GET /webservice/integration/getQuantidadeCustomerNaoIntegrado | tags: Customer | operationId: getQuantidadeCustomerNaoIntegrado
GET /webservice/integration/getRotina | tags: Rotina | operationId: getRotina
GET /webservice/integration/getTabelaPreco | tags: Tabela Preço | operationId: getTabelaPreco
GET /webservice/integration/getTabelaPrecoOnfood | tags: Tabela Preço | operationId: getTabelaPrecoOnfood
GET /webservice/integration/getTokenBling | tags: Api | operationId: getTokenBling
GET /webservice/integration/getTransporte | tags: Transporte | operationId: getTransporte
GET /webservice/integration/getUltimaIntegradora | tags: Integradora | operationId: getUltimaIntegradora
GET /webservice/integration/getValorNotas | tags: Nota Fiscal | operationId: getValorNotas
GET /webservice/integration/getVariante | tags: Produto | operationId: getVariante
GET /webservice/integration/getVinculoCatMercadoLivre | tags: Produto | operationId: getVinculoCatMercadoLivre
POST /webservice/integration/insertAcesso | tags: Acesso | operationId: insertAcesso
POST /webservice/integration/insertAtalhoRotina | tags: Rotina | operationId: insertAtalhoRotina
POST /webservice/integration/insertCadTracking | tags: Pedido | operationId: insertCadTracking
POST /webservice/integration/insertCategoria | tags: Produto | operationId: insertCategoria
DELETE /webservice/integration/insertCidade | tags: Município | operationId: insertCidade
POST /webservice/integration/insertCidadeSankhya | tags: Município | operationId: insertCidadeSankhya
POST /webservice/integration/insertClienteIntegrado | tags: Customer | operationId: insertClienteIntegrado
POST /webservice/integration/insertClienteIntegradoOnfood | tags: Customer | operationId: insertClienteIntegradoOnfood
POST /webservice/integration/insertCustomer | tags: Customer | operationId: insertCustomer
POST /webservice/integration/insertCustomerWs | tags: Customer | operationId: insertCustomerWs
POST /webservice/integration/insertDadoIntegration | tags: Integration | operationId: insertDadoIntegration
POST /webservice/integration/insertEstoqueVtex | tags: Produto | operationId: insertEstoqueVtex
POST /webservice/integration/insertFilialEstoque | tags: Filial | operationId: insertFilialEstoque
POST /webservice/integration/insertFilialGestao | tags: Filial | operationId: insertFilialGestao
POST /webservice/integration/insertFilialLopes | tags: Filial | operationId: insertFilialLopes
POST /webservice/integration/insertFilialSankhya | tags: Filial | operationId: insertFilialSankhya
POST /webservice/integration/insertFilialTiny | tags: Filial | operationId: insertFilialTiny
POST /webservice/integration/insertFilialUpSoftware | tags: Filial | operationId: insertFilialUpSoftware
POST /webservice/integration/insertFilialWinthor | tags: Filial | operationId: insertFilialWinthor
POST /webservice/integration/insertHistoricoTracking | tags: Pedido | operationId: insertHistoricoTracking
POST /webservice/integration/insertImagenProdutoLoja | tags: Produto | operationId: insertImagenProdutoLoja
POST /webservice/integration/insertIntegradora | tags: Integradora | operationId: insertIntegradora
POST /webservice/integration/insertListProdutoLoja | tags: Produto | operationId: insertListProdutoLoja
POST /webservice/integration/insertListProdutoOnfood | tags: Produto | operationId: insertListProdutoOnfood
POST /webservice/integration/insertListProdutoPresta | tags: Produto | operationId: insertListProdutoPresta
POST /webservice/integration/insertLog | tags: Log | operationId: insertLog
POST /webservice/integration/insertLogB2b | tags: Log | operationId: insertLogB2b
POST /webservice/integration/insertNota | tags: Nota Fiscal | operationId: insertNota_1
POST /webservice/integration/insertOperation | tags: Operation | operationId: insertNota
POST /webservice/integration/insertOrder | tags: Order | operationId: insertOrder
POST /webservice/integration/insertPagamento | tags: Pagamento | operationId: insertPagamento
POST /webservice/integration/insertPagamentoVtex | tags: Pagamento | operationId: insertPagamentoVtex
POST /webservice/integration/insertParametros | tags: servidor-b-2b | operationId: insertParametros
POST /webservice/integration/insertPayment | tags: Payment | operationId: insertPayment
POST /webservice/integration/insertPedidoIntegrado | tags: Pedido | operationId: insertPedidoIntegrado
POST /webservice/integration/insertPedidoPagamento | tags: PedidoPagamento | operationId: insertPedidoPagamento
POST /webservice/integration/insertPlanoPagCli | tags: Plano Pagamento | operationId: insertPlanoPagCli
POST /webservice/integration/insertPracaWinthor | tags: Praça | operationId: InsertPracaWinthor
POST /webservice/integration/insertPrecoEcommerceMagento | tags: Produto | operationId: insertPrecoEcommerceMagento
POST /webservice/integration/insertPrecoEcommerceOnfood | tags: Produto | operationId: insertPrecoEcommerceOnfood
POST /webservice/integration/insertPrecoEcommercePresta | tags: Produto | operationId: insertPrecoEcommercePresta
POST /webservice/integration/insertPrecoPromocao | tags: Produto | operationId: insertPrecoPromocao
POST /webservice/integration/insertProduto | tags: Produto | operationId: insertProduto
POST /webservice/integration/insertProdutoLoja | tags: Produto | operationId: insertProdutoLoja
POST /webservice/integration/insertProdutoOnfood | tags: Produto | operationId: insertProdutoOnfood
POST /webservice/integration/insertProdutoPresta | tags: Produto | operationId: insertProdutoPresta
POST /webservice/integration/insertTabelaPreco | tags: Tabela Preço | operationId: insertTabelaPreco
POST /webservice/integration/insertTabelaPrecoEstado | tags: Tabela Preço | operationId: insertTabelaPrecoEstado
POST /webservice/integration/insertTabelaPrecoOnfood | tags: Tabela Preço | operationId: insertTabelaPrecoOnfood
POST /webservice/integration/insertTipoPreco | tags: Tabela Preço | operationId: insertTipoPreco
POST /webservice/integration/insertTipoPrecoOnfood | tags: Tabela Preço | operationId: insertTipoPrecoOnfood
POST /webservice/integration/insertTransporte | tags: Transporte | operationId: insertTransporte
POST /webservice/integration/insertVinculoCatMercadoLivre | tags: Produto | operationId: insertVinculoCatMercadoLivre
POST /webservice/integration/insertVinculoCategoriaProdutoLoja | tags: Produto | operationId: insertVinculoCategoriaProdutoLoja
POST /webservice/integration/integration | tags: Integration | operationId: integration
POST /webservice/integration/notificationOrderIfood | tags: Integration | operationId: notificationOrderIfood
POST /webservice/integration/notifications | tags: Integration | operationId: notifications
DELETE /webservice/integration/resetTipoPreco | tags: Lista de Preço | operationId: resetTipoPreco
POST /webservice/integration/tokenBling | tags: Api | operationId: tokenBling
PUT /webservice/integration/updateCadTracking | tags: Pedido | operationId: updateCadTracking
PUT /webservice/integration/updateCategoria | tags: Produto | operationId: updateCategoria
PUT /webservice/integration/updateCidadeSankhya | tags: Município | operationId: updateCidadeSankhya
PUT /webservice/integration/updateClienteIntegrado | tags: Customer | operationId: updateClienteIntegrado
PUT /webservice/integration/updateClienteIntegradoCodcli | tags: Customer | operationId: updateClienteIntegradoCodcli
PUT /webservice/integration/updateClienteIntegradoCodcliOnfood | tags: Customer | operationId: updateClienteIntegradoCodcliOnfood
PUT /webservice/integration/updateClienteIntegradoOnfood | tags: Customer | operationId: updateClienteIntegradoOnfood
PUT /webservice/integration/updateCustomer | tags: Customer | operationId: updateCustomer
PUT /webservice/integration/updateCustomerId | tags: Customer | operationId: updateCustomerId
PUT /webservice/integration/updateDadoIntegration | tags: Integration | operationId: updateDadoIntegration
PUT /webservice/integration/updateEstoqueProduto | tags: Produto | operationId: updateEstoqueProduto
PUT /webservice/integration/updateEstoqueProdutoCayena | tags: Produto | operationId: updateEstoqueProdutoCayena
PUT /webservice/integration/updateEstoqueProdutoLoja | tags: Produto | operationId: updateEstoqueProdutoLoja
PUT /webservice/integration/updateEstoqueProdutoOnfood | tags: Produto | operationId: updateEstoqueProdutoOnfood
PUT /webservice/integration/updateEstoqueProdutoPresta | tags: Produto | operationId: updateEstoqueProdutoPresta
PUT /webservice/integration/updateEstoqueProdutoTray | tags: Produto | operationId: updateEstoqueProdutoTray
PUT /webservice/integration/updateEstoqueVtex | tags: Produto | operationId: updateEstoqueVtex
PUT /webservice/integration/updateFilialGestao | tags: Filial | operationId: updateFilialGestao
PUT /webservice/integration/updateFilialLopes | tags: Filial | operationId: updateFilialLopes
PUT /webservice/integration/updateFilialSankhya | tags: Filial | operationId: updateFilialSankhya
PUT /webservice/integration/updateFilialTiny | tags: Filial | operationId: updateFilialTiny
PUT /webservice/integration/updateFilialUpSoftware | tags: Filial | operationId: updateFilialUpSoftware
PUT /webservice/integration/updateFilialWinthor | tags: Filial | operationId: updateFilialWinthor
PUT /webservice/integration/updateIntegradora | tags: Integradora | operationId: updateIntegradora
PUT /webservice/integration/updateIntegration | tags: Integration | operationId: updateIntegration
PUT /webservice/integration/updateListProduto | tags: Produto | operationId: updateListProduto
PUT /webservice/integration/updateListProdutoLoja | tags: Produto | operationId: updateListProdutoLoja
PUT /webservice/integration/updateListProdutoOnfood | tags: Produto | operationId: updateListProdutoOnfood
PUT /webservice/integration/updateListTipoPreco | tags: Tabela Preço | operationId: updateListTipoPreco
PUT /webservice/integration/updateListTipoPrecoOnfood | tags: Tabela Preço | operationId: updateListTipoPrecoOnfood
